Country,Region,CEI,GCI,NCSI,DDL,CEI_norm,GCI_norm,NCSI_norm,DDL_norm,Risk_Score,Risk_Category
Kenya,Africa,0.548,81.7,41.56,37.14,0.5078651685393258,0.8144956918398378,0.4246835443037975,0.3607427055702917,0.5269467775633132,Medium Risk
Kiribati,Asia-Pasific,0.483,13.84,5.19,21.7,0.5808988764044944,0.1266092245311708,0.04103375527426161,0.14519056261343008,0.22343310470583921,High Risk
Kuwait,Asia-Pasific,0.428,75.07,40.26,51.79,0.6426966292134831,0.7472883933096807,0.41097046413502114,0.5652659500209408,0.5915553591697814,Medium Risk
Kyrgyzstan,Asia-Pasific,0.693,49.64,37.66,42.96,0.34494382022471914,0.48950836289913835,0.38354430379746834,0.4419935781097305,0.41499751625776404,Medium Risk
Lao PDR,Asia-Pasific,0.483,20.34,18.18,32.37,0.5808988764044944,0.1924987328940699,0.1780590717299578,0.29415049560240114,0.31140179415773084,High Risk
Latvia,Europe,0.352,97.28,75.32,66.23,0.7280898876404495,0.9724277749619868,0.7808016877637131,0.7668574619572804,0.8120442030808575,Low Risk
Lebanon,Asia-Pasific,0.579,30.44,40.26,51.79,0.47303370786516863,0.2948808920425747,0.41097046413502114,0.5652659500209408,0.43603775351592633,Medium Risk
Lesotho,Africa,0.483,9.08,40.26,51.79,0.5808988764044944,0.07835783071464775,0.41097046413502114,0.5652659500209408,0.408873280318776,Medium Risk
Liberia,Africa,0.483,9.72,19.48,51.79,0.5808988764044944,0.0848454130765332,0.19177215189873417,0.5652659500209408,0.3556955978501757,Medium Risk
Libya,Africa,0.793,28.78,10.39,41.1,0.23258426966292134,0.27805372529143435,0.09588607594936709,0.41602680441155937,0.2556377188288205,High Risk
Liechtenstein,Europe,0.483,35.15,31.17,51.79,0.5808988764044944,0.34262544348707547,0.31508438818565404,0.5652659500209408,0.4509686645245412,Medium Risk
Lithuania,Europe,0.297,97.93,93.51,67.34,0.7898876404494382,0.9790167257982768,0.9726793248945149,0.78235376239006,0.8809843633830725,Low Risk
Luxembourg,Europe,0.124,97.41,66.23,78.4,0.9842696629213483,0.9737455651292448,0.6849156118143461,0.9367583414770347,0.8949222953354935,Low Risk
Madagascar,Africa,0.483,23.33,12.99,22.8,0.5808988764044944,0.2228079067410035,0.12331223628691983,0.16054725673600445,0.27189156904210554,High Risk
Malawi,Africa,0.483,36.83,27.27,23.2,0.5808988764044944,0.3596553471870248,0.2739451476793249,0.16613150914421326,0.34515772010376433,Medium Risk
Malaysia,Asia-Pasific,0.293,98.06,79.22,62.19,0.7943820224719101,0.9803345159655348,0.8219409282700423,0.710456512634371,0.8267784948354646,Low Risk
Maldives,Asia-Pasific,0.483,2.95,40.26,51.79,0.5808988764044944,0.016218955904713634,0.41097046413502114,0.5652659500209408,0.39333856161629255,Medium Risk
Mali,Africa,0.483,10.14,19.48,51.79,0.5808988764044944,0.08910288900152054,0.19177215189873417,0.5652659500209408,0.3567599668314225,Medium Risk
Malta,Europe,0.483,83.65,50.65,71.74,0.5808988764044944,0.8342625443487076,0.5205696202531646,0.8437805388803572,0.694877894971681,Low Risk
Marshall Islands,Asia-Pasific,0.483,4.9,40.26,51.79,0.5808988764044944,0.03598580841358338,0.41097046413502114,0.5652659500209408,0.3982802747435099,Medium Risk
Mauritania,Africa,0.483,18.94,11.69,11.3,0.5808988764044944,0.1783071464774455,0.10959915611814346,0.0,0.21720129475002084,High Risk
Mauritius,Africa,0.2,96.89,44.16,53.57,0.898876404494382,0.9684744044602129,0.4521097046413502,0.5901158732374702,0.7273940967083539,Low Risk
Mexico,North America,0.483,81.68,37.66,51.46,0.5808988764044944,0.8142929548910289,0.38354430379746834,0.5606589417841685,0.5848487692192901,Medium Risk
Moldova,Europe,0.545,75.78,50.65,56.79,0.5112359550561798,0.7544855549923974,0.5205696202531646,0.6350691051235514,0.6053400588563232,Medium Risk
Monaco,Europe,0.483,72.57,40.26,51.79,0.5808988764044944,0.7219462747085655,0.41097046413502114,0.5652659500209408,0.5697703913172555,Medium Risk
Mongolia,Asia-Pasific,0.738,26.2,18.18,46.41,0.29438202247191014,0.2519006588950836,0.1780590717299578,0.49015775513053184,0.30362487705687086,High Risk
Montenegro,Europe,0.483,53.23,35.06,57.79,0.5808988764044944,0.5258996452103395,0.35611814345991566,0.6490297361440736,0.5279866003047058,Medium Risk
Morocco,Africa,0.748,82.41,70.13,46.88,0.28314606741573034,0.8216928535225545,0.7260548523206751,0.4967192517101772,0.5819032562422842,Medium Risk
Mozambique,Africa,0.483,24.18,9.09,24.88,0.5808988764044944,0.23142422706538263,0.08217299578059072,0.18958536925869043,0.27102036712728955,High Risk
Myanmar,Asia-Pasific,0.91,36.41,10.39,34.29,0.10112359550561789,0.3553978712620374,0.09588607594936709,0.32095490716180364,0.2183406124697065,High Risk
Namibia,Africa,0.679,11.47,15.58,37.28,0.3606741573033707,0.10258489609731374,0.15063291139240506,0.36269719391316485,0.24414728967656357,High Risk
Nauru,Asia-Pasific,0.483,21.42,40.26,51.79,0.5808988764044944,0.20344652812975164,0.41097046413502114,0.5652659500209408,0.44014545467255195,Medium Risk
